package	version	license_file	source_url
build	1.6.0	licenses/third_party/packages/build/LICENSE	https://build.pypa.io/en/stable/changelog.html
mypy	2.3.1	licenses/third_party/packages/mypy/LICENSE	https://www.mypy-lang.org/
pytest	9.1.1	licenses/third_party/packages/pytest/LICENSE	https://docs.pytest.org/en/stable/changelog.html
pytest-cov	7.1.0	licenses/third_party/packages/pytest-cov/LICENSE	https://github.com/pytest-dev/pytest-cov
ruff	0.16.6	licenses/third_party/packages/ruff/LICENSE	https://github.com/astral-sh/ruff/blob/main/CHANGELOG.md
sqlalchemy	2.0.52	licenses/third_party/packages/sqlalchemy/LICENSE	https://docs.sqlalchemy.org
twine	7.0.0	licenses/third_party/packages/twine/LICENSE	https://twine.readthedocs.io/
